user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT_CONCOCT.0_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	69.93	11	0.9164	Genome has more than 14.2% of markers with multiple hits
CONCOCT_CONCOCT.19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	39.72	11	0.86788	N/A
CONCOCT_CONCOCT.26_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	N/A	N/A	N/A	N/A	N/A	GCA_905479615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__Eudoraea sp905479615	88.92	0.458	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024642325.1, s__Eudoraea sp024642325, 95.0, 83.23, 0.47; GCA_013042925.1, s__Eudoraea sp013042925, 95.0, 82.69, 0.458; GCF_000382125.1, s__Eudoraea adriatica, 95.0, 82.32, 0.743; GCA_020346245.1, s__Eudoraea sp020346245, 95.0, 82.04, 0.61	42.68	11	0.98016	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.33	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.38	11	0.88259	N/A
CONCOCT_CONCOCT.4_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	27.39	4	0.68795	N/A
CONCOCT_CONCOCT.53	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	N/A	N/A	N/A	N/A	N/A	GCA_022340485.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__UBA9214 sp022340485	80.74	0.682	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905479705.1, s__UBA9214 sp905479705, 95.0, 79.34, 0.502; GCA_905480305.1, s__UBA9214 sp905480305, 95.0, 79.26, 0.378; GCA_003454335.1, s__UBA9214 sp003454335, 95.0, 78.03, 0.381; GCA_013041945.1, s__UBA9214 sp013041945, 95.0, 77.82, 0.264; GCA_905480065.1, s__UBA9214 sp905480065, 95.0, 76.98, 0.305	87.41	11	0.94676	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.54_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_905479735.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__JABDQA01 sp905479735	90.16	0.36	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024640625.1, s__JABDQA01 sp024640625, 95.0, 80.91, 0.304; GCA_013042475.1, s__JABDQA01 sp013042475, 95.0, 78.78, 0.208; GCA_022340565.1, s__JABDQA01 sp022340565, 95.0, 77.5, 0.149	24.27	4	0.98129	N/A
CONCOCT_CONCOCT.56_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SG8-30;s__	N/A	N/A	N/A	N/A	N/A	GCA_018261655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SG8-30;s__SG8-30 sp018261655	81.62	0.63	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SG8-30;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001303245.1, s__SG8-30 sp001303245, 95.0, 79.92, 0.482; GCA_024642505.1, s__SG8-30 sp024642505, 95.0, 79.62, 0.466	15.55	4	0.95236	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.59	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.77	11	0.81266	Genome has more than 10.0% of markers with multiple hits
CONCOCT_CONCOCT.73	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.31	11	0.84583	N/A
