user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT_CONCOCT.17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.22	11	0.84638	N/A
CONCOCT_CONCOCT.39	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.29	11	0.88232	N/A
CONCOCT_CONCOCT.52	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.98	11	0.81287	N/A
CONCOCT_CONCOCT.55	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	N/A	N/A	N/A	N/A	N/A	GCA_022340485.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__UBA9214 sp022340485	80.65	0.719	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905480305.1, s__UBA9214 sp905480305, 95.0, 79.66, 0.391; GCA_905479705.1, s__UBA9214 sp905479705, 95.0, 79.37, 0.513; GCA_003454335.1, s__UBA9214 sp003454335, 95.0, 78.09, 0.381; GCA_013041945.1, s__UBA9214 sp013041945, 95.0, 77.88, 0.269; GCA_905480065.1, s__UBA9214 sp905480065, 95.0, 77.09, 0.302	94.52	11	0.94689	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.8	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	96.68	11	0.92448	N/A
CONCOCT_CONCOCT.80_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__	N/A	N/A	N/A	N/A	N/A	GCA_018224455.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina sp018224455	89.15	0.802	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020444075.1, s__Desulfosarcina sp020444075, 95.0, 84.88, 0.662; GCA_014237405.1, s__Desulfosarcina sp014237405, 95.0, 83.45, 0.603; GCA_002352605.1, s__Desulfosarcina sp002352605, 95.0, 81.47, 0.615; GCF_009688945.1, s__Desulfosarcina alkanivorans, 95.0, 81.26, 0.449; GCF_009688965.1, s__Desulfosarcina widdelii, 95.0, 79.07, 0.339; GCF_009689005.1, s__Desulfosarcina ovata, 95.0, 78.57, 0.252; GCF_001311845.1, s__Desulfosarcina cetonica, 95.0, 78.09, 0.245; GCA_002747175.1, s__Desulfosarcina sp002747175, 95.0, 77.88, 0.308	32.49	11	0.98167	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 49.2% of markers with multiple hits
GraphMB_16526	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	17.56	11	0.84315	Genome domain questionable ( 18.3% Bacterial, 9.4% Archaeal)
GraphMB_1677	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	GCA_001510415.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	97.8	0.754	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
GraphMB_1700	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	51.58	11	0.64277	N/A
GraphMB_2352	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	ANI	classification based on placement in class-level tree	GCA_002279935.1, s__Hyphomicrobium_C sp002279935, 95.0, 79.2, 0.347; GCA_002928735.1, s__Hyphomicrobium_C sp002928735, 95.0, 78.96, 0.327; GCA_019751875.1, s__Hyphomicrobium_C sp019751875, 95.0, 78.78, 0.31; GCA_022841965.1, s__Hyphomicrobium_C sp022841965, 95.0, 78.31, 0.309; GCA_022844105.1, s__Hyphomicrobium_C sp001464285, 95.0, 78.26, 0.284; GCF_900117455.1, s__Hyphomicrobium_C sp900117455, 95.0, 77.96, 0.194; GCF_000383415.1, s__Hyphomicrobium_C zavarzinii, 95.0, 77.95, 0.206; GCA_019744875.1, s__Hyphomicrobium_C sp019744875, 95.0, 77.82, 0.201; GCA_017304275.1, s__Hyphomicrobium_C sp017304275, 95.0, 77.7, 0.208; GCA_019137195.1, s__Hyphomicrobium_C sp019137195, 95.0, 77.69, 0.198; GCF_000503895.1, s__Hyphomicrobium_C nitrativorans, 95.0, 77.65, 0.19; GCA_902826555.1, s__Hyphomicrobium_C sp902826555, 95.0, 77.63, 0.186; GCA_934555825.1, s__Hyphomicrobium_C sp934555825, 95.0, 77.53, 0.168; GCA_020852195.1, s__Hyphomicrobium_C sp020852195, 95.0, 77.2, 0.202; GCA_021813195.1, s__Hyphomicrobium_C sp021813195, 95.0, 76.89, 0.139	63.87	11	0.95787	Genome has more than 15.0% of markers with multiple hits
