user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT_CONCOCT.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	N/A	N/A	N/A	N/A	N/A	GCA_024642325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__Eudoraea sp024642325	91.64	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905479615.1, s__Eudoraea sp905479615, 95.0, 85.63, 0.797; GCA_013042925.1, s__Eudoraea sp013042925, 95.0, 81.84, 0.73; GCF_000382125.1, s__Eudoraea adriatica, 95.0, 81.61, 0.717; GCA_020346245.1, s__Eudoraea sp020346245, 95.0, 81.01, 0.73	70.86	11	0.99166	Genome has more than 25.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.14_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.15	11	0.96779	N/A
CONCOCT_CONCOCT.35	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	N/A	N/A	N/A	N/A	N/A	GCA_903933815.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__67-14 sp903933815	79.96	0.596	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001897355.1, s__67-14 sp001897355, 95.0, 79.95, 0.542; GCA_017304845.1, s__67-14 sp017304845, 95.0, 79.85, 0.409; GCA_020438295.1, s__67-14 sp020438295, 95.0, 79.85, 0.541; GCA_019694145.1, s__67-14 sp019694145, 95.0, 79.58, 0.429; GCA_016650125.1, s__67-14 sp016650125, 95.0, 79.45, 0.533; GCA_023436605.1, s__67-14 sp023436605, 95.0, 79.23, 0.442; GCA_016649615.1, s__67-14 sp016649615, 95.0, 79.16, 0.538; GCA_020438425.1, s__67-14 sp020438425, 95.0, 79.05, 0.414; GCA_016712175.1, s__67-14 sp016712175, 95.0, 78.91, 0.48; GCA_023958085.1, s__67-14 sp023958085, 95.0, 78.87, 0.385; GCA_023434465.1, s__67-14 sp023434465, 95.0, 78.84, 0.383; GCA_020636955.1, s__67-14 sp020636955, 95.0, 78.67, 0.389; GCA_018883025.1, s__67-14 sp018883025, 95.0, 78.59, 0.492; GCA_020438355.1, s__67-14 sp020438355, 95.0, 78.48, 0.399; GCA_903891285.1, s__67-14 sp903891285, 95.0, 78.47, 0.462; GCA_020438395.1, s__67-14 sp020438395, 95.0, 78.47, 0.417; GCA_903939845.1, s__67-14 sp903939845, 95.0, 78.35, 0.429; GCA_020438345.1, s__67-14 sp020438345, 95.0, 77.7, 0.26	89.83	11	0.93393	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.39	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	96.46	11	0.92489	N/A
CONCOCT_CONCOCT.43_sub	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA12327;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA12327;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.66	11	0.69262	N/A
CONCOCT_CONCOCT.46	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	ANI	classification based on placement in class-level tree	GCA_020637615.1, s__Amaricoccus sp020637615, 95.0, 80.05, 0.495; GCA_003241785.1, s__Amaricoccus sp003241785, 95.0, 79.3, 0.362; GCF_006385685.1, s__Amaricoccus solimangrovi, 95.0, 79.24, 0.368; GCA_017993425.1, s__Amaricoccus sp017993425, 95.0, 79.08, 0.422; GCA_017995835.1, s__Amaricoccus sp017995835, 95.0, 78.8, 0.45; GCA_003258405.1, s__Amaricoccus sp003258405, 95.0, 78.69, 0.341; GCF_014201905.1, s__Amaricoccus macauensis, 95.0, 78.66, 0.308	59.64	11	0.92835	N/A
CONCOCT_CONCOCT.47	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JAHEEL01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024640745.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JAHEEL01;s__JAHEEL01 sp024640745	78.64	0.536	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JAHEEL01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_023336855.1, s__JAHEEL01 sp023336855, 95.0, 77.9, 0.329; GCA_024762335.1, s__JAHEEL01 sp024762335, 95.0, 77.6, 0.326	81.97	11	0.93444	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.48	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.91	11	0.88267	N/A
CONCOCT_CONCOCT.66_sub	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__JAFDBW01;s__	N/A	N/A	N/A	N/A	N/A	GCA_019313105.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__JAFDBW01;s__JAFDBW01 sp019313105	93.06	0.436	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__JAFDBW01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	46.43	11	0.98457	Genome has more than 15.0% of markers with multiple hits
CONCOCT_CONCOCT.81_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.37	11	0.84092	Genome has more than 50.0% of markers with multiple hits
