user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	N/A	N/A	N/A	N/A	N/A	GCA_024643255.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__Sva-07 sp024643255	82.14	0.69	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015767405.1, s__Sva-07 sp015767405, 95.0, 78.14, 0.328; GCA_019090765.1, s__Sva-07 sp019090765, 95.0, 77.68, 0.237	59.11	11	0.95552	Genome has more than 15.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	N/A	N/A	N/A	N/A	N/A	GCA_002868855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__BM003 sp002868855	84.13	0.693	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.21	11	0.96372	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
306_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	GCA_013041745.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__GCA-2746365 sp013041745	83.7	0.671	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015488295.1, s__GCA-2746365 sp015488295, 95.0, 78.42, 0.293; GCA_913065105.1, s__GCA-2746365 sp913065105, 95.0, 78.31, 0.251; GCA_015222965.1, s__GCA-2746365 sp015222965, 95.0, 78.19, 0.359; GCA_011321985.1, s__GCA-2746365 sp011321985, 95.0, 78.1, 0.229; GCA_015222915.1, s__GCA-2746365 sp015222915, 95.0, 77.95, 0.315; GCA_024278435.1, s__GCA-2746365 sp024278435, 95.0, 77.69, 0.26; GCA_022340645.1, s__GCA-2746365 sp022340645, 95.0, 77.53, 0.165; GCA_002746365.1, s__GCA-2746365 sp002746365, 95.0, 77.45, 0.135; GCA_024277705.1, s__GCA-2746365 sp024277705, 95.0, 77.4, 0.173; GCA_013138755.1, s__GCA-2746365 sp013138755, 95.0, 77.31, 0.152; GCA_022712755.1, s__GCA-2746365 sp022712755, 95.0, 77.27, 0.144; GCA_011051475.1, s__GCA-2746365 sp011051475, 95.0, 77.01, 0.19; GCA_016764035.1, s__GCA-2746365 sp016764035, 95.0, 76.96, 0.115; GCA_002401185.1, s__GCA-2746365 sp002401185, 95.0, 76.19, 0.132	58.11	11	0.96878	Genome has more than 11.7% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
340	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.57	11	0.84588	N/A
540	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	ANI	classification based on placement in class-level tree	GCA_002279935.1, s__Hyphomicrobium_C sp002279935, 95.0, 78.86, 0.322; GCA_002928735.1, s__Hyphomicrobium_C sp002928735, 95.0, 78.76, 0.388; GCA_019751875.1, s__Hyphomicrobium_C sp019751875, 95.0, 78.56, 0.352; GCA_022841965.1, s__Hyphomicrobium_C sp022841965, 95.0, 78.38, 0.361; GCA_022844105.1, s__Hyphomicrobium_C sp001464285, 95.0, 78.05, 0.347; GCA_017304275.1, s__Hyphomicrobium_C sp017304275, 95.0, 78.01, 0.225; GCA_019744875.1, s__Hyphomicrobium_C sp019744875, 95.0, 77.94, 0.199; GCF_900117455.1, s__Hyphomicrobium_C sp900117455, 95.0, 77.8, 0.207; GCF_000383415.1, s__Hyphomicrobium_C zavarzinii, 95.0, 77.79, 0.2; GCA_019137195.1, s__Hyphomicrobium_C sp019137195, 95.0, 77.73, 0.213; GCA_902826555.1, s__Hyphomicrobium_C sp902826555, 95.0, 77.69, 0.193; GCF_000503895.1, s__Hyphomicrobium_C nitrativorans, 95.0, 77.6, 0.212; GCA_934555825.1, s__Hyphomicrobium_C sp934555825, 95.0, 77.57, 0.195; GCA_020852195.1, s__Hyphomicrobium_C sp020852195, 95.0, 77.39, 0.215; GCA_021813195.1, s__Hyphomicrobium_C sp021813195, 95.0, 76.68, 0.146	51.68	11	0.95573	Genome has more than 24.2% of markers with multiple hits
555	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__	N/A	N/A	N/A	N/A	N/A	GCA_006227875.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__M0029 sp006227875	77.11	0.15	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	56.8	11	0.86008	N/A
582	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.21	11	0.84478	Genome has more than 27.5% of markers with multiple hits
583	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	N/A	N/A	N/A	N/A	N/A	GCA_020637615.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__Amaricoccus sp020637615	80.12	0.465	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003241785.1, s__Amaricoccus sp003241785, 95.0, 79.64, 0.391; GCF_006385685.1, s__Amaricoccus solimangrovi, 95.0, 79.41, 0.383; GCA_017993425.1, s__Amaricoccus sp017993425, 95.0, 79.36, 0.406; GCA_017995835.1, s__Amaricoccus sp017995835, 95.0, 79.23, 0.423; GCA_003258405.1, s__Amaricoccus sp003258405, 95.0, 79.08, 0.328; GCF_014201905.1, s__Amaricoccus macauensis, 95.0, 78.67, 0.336	25.06	11	0.93776	N/A
600_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	30.84	11	0.90429	Genome has more than 16.7% of markers with multiple hits
78	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	GCA_001510415.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	97.24	0.717	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
