user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1492	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024641825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__JAAXQD01 sp024641825	92.97	0.647	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012974475.1, s__JAAXQD01 sp012974475, 95.0, 89.76, 0.709; GCA_019314155.1, s__JAAXQD01 sp019314155, 95.0, 87.57, 0.589	63.48	11	0.9901	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
1510_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	GCA_013041745.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__GCA-2746365 sp013041745	83.58	0.66	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_913065105.1, s__GCA-2746365 sp913065105, 95.0, 78.53, 0.244; GCA_015488295.1, s__GCA-2746365 sp015488295, 95.0, 78.24, 0.258; GCA_015222965.1, s__GCA-2746365 sp015222965, 95.0, 78.17, 0.294; GCA_015222915.1, s__GCA-2746365 sp015222915, 95.0, 77.82, 0.249; GCA_013138755.1, s__GCA-2746365 sp013138755, 95.0, 77.81, 0.124; GCA_011321985.1, s__GCA-2746365 sp011321985, 95.0, 77.79, 0.202; GCA_022340645.1, s__GCA-2746365 sp022340645, 95.0, 77.74, 0.172; GCA_002746365.1, s__GCA-2746365 sp002746365, 95.0, 77.66, 0.136; GCA_022712755.1, s__GCA-2746365 sp022712755, 95.0, 77.55, 0.127; GCA_024278435.1, s__GCA-2746365 sp024278435, 95.0, 77.37, 0.209; GCA_011051475.1, s__GCA-2746365 sp011051475, 95.0, 77.18, 0.152; GCA_024277705.1, s__GCA-2746365 sp024277705, 95.0, 77.11, 0.15; GCA_016764035.1, s__GCA-2746365 sp016764035, 95.0, 76.91, 0.099; GCA_002401185.1, s__GCA-2746365 sp002401185, 95.0, 76.38, 0.11	48.1	11	0.97321	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.8% of markers with multiple hits
1565_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937505.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__JAACFE01 sp009937505	82.11	0.678	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009937525.1, s__JAACFE01 sp009937525, 95.0, 81.8, 0.667	47.53	11	0.97931	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
1736	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	N/A	N/A	N/A	N/A	N/A	GCA_024642325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__Eudoraea sp024642325	91.31	0.828	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905479615.1, s__Eudoraea sp905479615, 95.0, 81.91, 0.681; GCF_000382125.1, s__Eudoraea adriatica, 95.0, 80.51, 0.669; GCA_013042925.1, s__Eudoraea sp013042925, 95.0, 80.43, 0.568; GCA_020346245.1, s__Eudoraea sp020346245, 95.0, 79.81, 0.588	57.8	11	0.99314	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
1912	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	N/A	N/A	N/A	N/A	N/A	GCA_024643255.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__Sva-07 sp024643255	82.17	0.543	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015767405.1, s__Sva-07 sp015767405, 95.0, 78.27, 0.23; GCA_019090765.1, s__Sva-07 sp019090765, 95.0, 78.08, 0.15	53.86	11	0.95286	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
2169_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.73	11	0.84717	Genome has more than 28.3% of markers with multiple hits
2379	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	84.63	11	0.84691	N/A
3909	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	ANI	classification based on placement in class-level tree	GCA_002279935.1, s__Hyphomicrobium_C sp002279935, 95.0, 79.82, 0.49; GCA_002928735.1, s__Hyphomicrobium_C sp002928735, 95.0, 79.63, 0.422; GCA_022841965.1, s__Hyphomicrobium_C sp022841965, 95.0, 79.35, 0.34; GCA_019751875.1, s__Hyphomicrobium_C sp019751875, 95.0, 79.32, 0.429; GCF_000383415.1, s__Hyphomicrobium_C zavarzinii, 95.0, 79.0, 0.347; GCA_022844105.1, s__Hyphomicrobium_C sp001464285, 95.0, 78.99, 0.442; GCF_000503895.1, s__Hyphomicrobium_C nitrativorans, 95.0, 78.99, 0.299; GCF_900117455.1, s__Hyphomicrobium_C sp900117455, 95.0, 78.92, 0.395; GCA_934555825.1, s__Hyphomicrobium_C sp934555825, 95.0, 78.9, 0.184; GCA_019137195.1, s__Hyphomicrobium_C sp019137195, 95.0, 78.82, 0.374; GCA_017304275.1, s__Hyphomicrobium_C sp017304275, 95.0, 78.82, 0.265; GCA_019744875.1, s__Hyphomicrobium_C sp019744875, 95.0, 78.64, 0.401; GCA_020852195.1, s__Hyphomicrobium_C sp020852195, 95.0, 77.83, 0.313; GCA_902826555.1, s__Hyphomicrobium_C sp902826555, 95.0, 77.83, 0.367; GCA_021813195.1, s__Hyphomicrobium_C sp021813195, 95.0, 77.67, 0.197	31.48	11	0.95548	N/A
3945	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	28.46	11	0.90256	N/A
416	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	N/A	N/A	N/A	N/A	N/A	GCA_002868855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__BM003 sp002868855	84.08	0.708	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	86.32	11	0.9642	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
